,lat,lon,Location Name,Title,Misinfo_Or_Books
102,42.7573021,-81.1995527,RKID,accidentallyWesAnderson,books
103,,,,accidentallyWesAnderson,books
104,-3.5448021,115.9350488,Pangkalan Elpiji Pa Jamal Saring S. Bubu,accidentallyWesAnderson,books
105,42.8400314,-85.4780751,Alaska,accidentallyWesAnderson,books
106,,,,accidentallyWesAnderson,books
107,34.0522342,-118.2436849,Los Angeles,accidentallyWesAnderson,books
108,6.9073937,100.2723808,Soi Rombaramee,accidentallyWesAnderson,books
109,38.6579029,-76.6067175,Two & Four Liquors,accidentallyWesAnderson,books
110,13.7563309,100.5017651,Bangkok,accidentallyWesAnderson,books
111,13.7563309,100.5017651,Bangkok,accidentallyWesAnderson,books
112,42.5750554,-8.1338558,Galicia,accidentallyWesAnderson,books
113,,,,accidentallyWesAnderson,books
114,28.4721027,-81.47372390000001,Harry Potter and the Forbidden Journey,accidentallyWesAnderson,books
115,39.531735,-77.378762,Brookfield Farm,accidentallyWesAnderson,books
116,,,,accidentallyWesAnderson,books
117,39.4699075,-0.3762881,Valencia,accidentallyWesAnderson,books
118,,,,accidentallyWesAnderson,books
119,51.57424469999999,0.4856781,Essex,accidentallyWesAnderson,books
120,,,,accidentallyWesAnderson,books
121,38.630612,141.1193048,Miyagi,accidentallyWesAnderson,books
122,,,,accidentallyWesAnderson,books
123,15.870032,100.992541,Thailand,accidentallyWesAnderson,books
124,,,,accidentallyWesAnderson,books
125,,,,accidentallyWesAnderson,books
126,35.6284413,139.7111625,3-chōme-7-10 Shimomeguro,accidentallyWesAnderson,books
127,15.870032,100.992541,Thailand,accidentallyWesAnderson,books
128,54.7335705,55.9794361,Advokat Ronzhin Anton Aleksandrovich,accidentallyWesAnderson,books
129,,,,accidentallyWesAnderson,books
130,,,,accidentallyWesAnderson,books
131,35.2540153,-81.1785749,Venecia Italian & Greek New York Style Pizzeria,accidentallyWesAnderson,books
132,43.2630126,-2.9349852,Bilbao,accidentallyWesAnderson,books
133,40.4167754,-3.7037902,Madrid,accidentallyWesAnderson,books
134,,,,accidentallyWesAnderson,books
135,,,,accidentallyWesAnderson,books
136,36.204824,138.252924,Japan,accidentallyWesAnderson,books
137,,,,accidentallyWesAnderson,books
138,-35.675147,-71.542969,Chile,accidentallyWesAnderson,books
139,38.9580797,-77.4164406,Alo Vietnam Restaurant & Bar,accidentallyWesAnderson,books
140,13.7563309,100.5017651,Bangkok,accidentallyWesAnderson,books
141,3.0692227,101.6942265,Jinv Academy Of Performing Arts,accidentallyWesAnderson,books
142,34.1517492,-118.5214282,Encino,accidentallyWesAnderson,books
143,,,,accidentallyWesAnderson,books
144,28.2915637,-16.6291304,Canary Islands,accidentallyWesAnderson,books
145,38.9284456,-77.0229476,Blacks In Government,accidentallyWesAnderson,books
146,37.6807661,-122.3999715,Brisbane,accidentallyWesAnderson,books
147,38.9580365,-77.3608452,Barcelona Wine Bar,accidentallyWesAnderson,books
148,39.12793860000001,-77.2060295,Dollar & More,accidentallyWesAnderson,books
149,,,,accidentallyWesAnderson,books
150,,,,accidentallyWesAnderson,books
151,13.7563309,100.5017651,Bangkok,accidentallyWesAnderson,books
152,39.744655,-75.5483909,Wilmington,accidentallyWesAnderson,books
153,15.870032,100.992541,Thailand,accidentallyWesAnderson,books
154,,,,accidentallyWesAnderson,books
