,lat,lon,Location Name,Misinfo_Or_Books,Title
110,-26.2041028,28.0473051,Johannesburg,misinfo,civilWar
111,35.5174913,-86.5804473,Tennessee,misinfo,civilWar
112,40.792105,-74.4816409,45 MacCulloch Ave,misinfo,civilWar
113,38.8626918,-77.05547229999999,Commonwealth Joe Coffee Roasters,misinfo,civilWar
114,,,,misinfo,civilWar
115,-8.783195,34.508523,Africa,misinfo,civilWar
116,37.09024,-95.712891,United States,misinfo,civilWar
117,40.0583238,-74.4056612,New Jersey,misinfo,civilWar
118,-33.5105866,-70.7572607,Maipú,misinfo,civilWar
119,14.0323336,38.3165725,Tigray,misinfo,civilWar
120,36.171563,-115.1391009,Las Vegas,misinfo,civilWar
121,32.3182314,-86.902298,Alabama,misinfo,civilWar
122,45.0724642,-93.4557877,Maple Grove,misinfo,civilWar
123,,,,misinfo,civilWar
124,46.8796822,-110.3625658,Montana,misinfo,civilWar
125,38.9071923,-77.0368707,Washington,misinfo,civilWar
126,39.48308970000001,-88.37282549999999,Mattoon,misinfo,civilWar
127,53.5460983,-113.4937266,Edmonton,misinfo,civilWar
128,38.9071923,-77.0368707,Washington,misinfo,civilWar
129,,,,misinfo,civilWar
130,39.011902,-98.4842465,Kansas,misinfo,civilWar
131,-36.9847807,143.3906074,Victoria,misinfo,civilWar
132,37.09024,-95.712891,United States,misinfo,civilWar
133,37.09024,-95.712891,United States,misinfo,civilWar
134,34.0489281,-111.0937311,Arizona,misinfo,civilWar
135,40.5575986,-74.2846022,Woodbridge Township,misinfo,civilWar
136,34.0522342,-118.2436849,Los Angeles,misinfo,civilWar
137,50.503887,4.469936,Belgium,misinfo,civilWar
138,55.6760968,12.5683372,Copenhagen,misinfo,civilWar
139,51.5072178,-0.1275862,London,misinfo,civilWar
140,41.1579438,-8.629105299999999,Porto,misinfo,civilWar
141,40.8076217,-73.94886389999999,Accra,misinfo,civilWar
142,38.8884444,-77.4356368,NV Coatings,misinfo,civilWar
143,8.9806034,38.7577605,Addis Ababa,misinfo,civilWar
144,39.5500507,-105.7820674,Colorado,misinfo,civilWar
145,37.4315734,-78.6568942,Virginia,misinfo,civilWar
146,,,,misinfo,civilWar
147,20.593684,78.96288,India,misinfo,civilWar
148,38.9071923,-77.0368707,Washington,misinfo,civilWar
149,39.023738,-77.4223426,World Market,misinfo,civilWar
150,52.52000659999999,13.404954,Berlin,misinfo,civilWar
151,37.4315734,-78.6568942,Virginia,misinfo,civilWar
152,,,,misinfo,civilWar
153,,,,misinfo,civilWar
154,43.653226,-79.3831843,Toronto,misinfo,civilWar
155,-1.2920659,36.8219462,Nairobi,misinfo,civilWar
156,40.4172871,-82.90712300000001,Ohio,misinfo,civilWar
157,38.9337221,-77.1035895,Kent,misinfo,civilWar
158,52.3555177,-1.1743197,England,misinfo,civilWar
159,37.09024,-95.712891,United States,misinfo,civilWar
160,38.3031837,-77.4605399,Fredericksburg,misinfo,civilWar
161,40.3028533,-74.7337069,Mercer County,misinfo,civilWar
162,38.8156551,-80.461754,Ireland,misinfo,civilWar
163,-7.7955798,110.3694896,Yogyakarta,misinfo,civilWar
